name_age,time,overall_place,sex_place,sex_div_place,div,net_time,city_state_country,state_country,country,city,city_country,ag_time,bq,date,marathon,midd,year
Edward Mulder (M26),2:21:57,41,NA,41 / 25,M25-29,NA,"New York, NY, USA",NA,NA,NA,NA,2:21:57,BQ,2019-06-22,Grandma's Marathon,42190622,2019
Chris Retzlaff (M23),2:22:01,42,NA,42 / 4,M20-24,NA,"Boulder, CO, USA",NA,NA,NA,NA,2:22:01,BQ,2019-06-22,Grandma's Marathon,42190622,2019
Vincent Hamilton (M26),2:22:07,43,NA,43 / 26,M25-29,NA,"Spokane, WA, USA",NA,NA,NA,NA,2:22:07,BQ,2019-06-22,Grandma's Marathon,42190622,2019
Austin O'Brien (M27),2:22:36,44,NA,44 / 27,M25-29,NA,"Waukee, IA, USA",NA,NA,NA,NA,2:22:36,BQ,2019-06-22,Grandma's Marathon,42190622,2019
Michael Roda (M43),2:22:37,45,NA,45 / 1,M40-44,NA,"Oneonta, NY, USA",NA,NA,NA,NA,2:15:45,BQ,2019-06-22,Grandma's Marathon,42190622,2019
Darryl Brown (M36),2:23:33,46,NA,46 / 5,M35-39,NA,"Exton, PA, USA",NA,NA,NA,NA,2:23:24,BQ,2019-06-22,Grandma's Marathon,42190622,2019
Michael Morris (M29),2:24:04,47,NA,47 / 28,M25-29,NA,"Kyle, TX, USA",NA,NA,NA,NA,2:24:04,BQ,2019-06-22,Grandma's Marathon,42190622,2019
Jacob Krolick (M28),2:24:15,48,NA,48 / 29,M25-29,NA,"Canyon, TX, USA",NA,NA,NA,NA,2:24:15,BQ,2019-06-22,Grandma's Marathon,42190622,2019
Matthew Boumeester (M32),2:24:15,49,NA,49 / 9,M30-34,NA,"Birchwood Village, MN, USA",NA,NA,NA,NA,2:24:15,BQ,2019-06-22,Grandma's Marathon,42190622,2019
Jason Thomas (M24),2:24:18,50,NA,50 / 5,M20-24,NA,"Des Moines, IA, USA",NA,NA,NA,NA,2:24:18,BQ,2019-06-22,Grandma's Marathon,42190622,2019
Clint McKelvey (M27),2:24:22,51,NA,51 / 30,M25-29,NA,"Arlington, VA, USA",NA,NA,NA,NA,2:24:22,BQ,2019-06-22,Grandma's Marathon,42190622,2019
Jason Simpson (M34),2:24:22,52,NA,52 / 10,M30-34,NA,"Boulder, CO, USA",NA,NA,NA,NA,2:24:22,BQ,2019-06-22,Grandma's Marathon,42190622,2019
Ben Jaskowiak (M29),2:24:27,53,NA,53 / 31,M25-29,NA,"Des Moines, IA, USA",NA,NA,NA,NA,2:24:27,BQ,2019-06-22,Grandma's Marathon,42190622,2019
Juan Paredes (M29),2:24:29,54,NA,54 / 32,M25-29,NA,"Los Angeles, CA, USA",NA,NA,NA,NA,2:24:29,BQ,2019-06-22,Grandma's Marathon,42190622,2019
